host,ip,port,protocol,title,domain,country,city,link,org
222.64.59.18:5555,222.64.59.18,5555,http,,,CN,Shanghai,http://222.64.59.18:5555,China Telecom Group
58.38.48.42:9200,58.38.48.42,9200,http,,,CN,Shanghai,http://58.38.48.42:9200,China Telecom Group
180.158.201.25:1024,180.158.201.25,1024,http,,,CN,Shanghai,http://180.158.201.25:1024,China Telecom Group
116.237.125.143:8881,116.237.125.143,8881,http,,,CN,Shanghai,http://116.237.125.143:8881,China Telecom Group
101.83.65.9:8899,101.83.65.9,8899,http,,,CN,Shanghai,http://101.83.65.9:8899,China Telecom Group
101.83.65.9:8899,101.83.65.9,8899,http,,,CN,Shanghai,http://101.83.65.9:8899,China Telecom Group
222.64.59.18:5555,222.64.59.18,5555,http,,,CN,Shanghai,http://222.64.59.18:5555,China Telecom Group
180.154.97.166:4022,180.154.97.166,4022,http,,,CN,Shanghai,http://180.154.97.166:4022,China Telecom Group
180.154.97.166:4022,180.154.97.166,4022,http,,,CN,Shanghai,http://180.154.97.166:4022,China Telecom Group
222.71.202.30:4000,222.71.202.30,4000,http,,,CN,Shanghai,http://222.71.202.30:4000,China Telecom Group
139.227.17.109:4022,139.227.17.109,4022,http,,,CN,Shanghai,http://139.227.17.109:4022,China Unicom Shanghai network
139.227.17.109:4022,139.227.17.109,4022,http,,,CN,Shanghai,http://139.227.17.109:4022,China Unicom Shanghai network
101.229.255.197:6066,101.229.255.197,6066,http,,,CN,Shanghai,http://101.229.255.197:6066,China Telecom Group
222.67.40.127:8888,222.67.40.127,8888,http,,,CN,Shanghai,http://222.67.40.127:8888,China Telecom Group
222.67.40.127:8888,222.67.40.127,8888,http,,,CN,Shanghai,http://222.67.40.127:8888,China Telecom Group
218.1.171.71:4022,218.1.171.71,4022,http,,,CN,Shanghai,http://218.1.171.71:4022,China Telecom Group
116.237.54.44:8888,116.237.54.44,8888,http,,,CN,Shanghai,http://116.237.54.44:8888,China Telecom Group
222.67.29.26:1688,222.67.29.26,1688,http,,,CN,Shanghai,http://222.67.29.26:1688,China Telecom Group
222.64.218.218:8888,222.64.218.218,8888,http,,,CN,Shanghai,http://222.64.218.218:8888,China Telecom Group
222.64.218.218:8888,222.64.218.218,8888,http,,,CN,Shanghai,http://222.64.218.218:8888,China Telecom Group
222.68.1.173:4022,222.68.1.173,4022,http,,,CN,Shanghai,http://222.68.1.173:4022,China Telecom Group
218.78.182.209:8888,218.78.182.209,8888,http,,,CN,Shanghai,http://218.78.182.209:8888,China Telecom Group
218.78.182.209:8888,218.78.182.209,8888,http,,,CN,Shanghai,http://218.78.182.209:8888,China Telecom Group
58.41.26.213:8880,58.41.26.213,8880,http,,,CN,Shanghai,http://58.41.26.213:8880,China Telecom Group
58.41.26.213:8880,58.41.26.213,8880,http,,,CN,Shanghai,http://58.41.26.213:8880,China Telecom Group
112.65.87.40:10086,112.65.87.40,10086,http,,,CN,Shanghai,http://112.65.87.40:10086,China Unicom Shanghai network
112.65.87.40:10086,112.65.87.40,10086,http,,,CN,Shanghai,http://112.65.87.40:10086,China Unicom Shanghai network
180.156.182.53:8888,180.156.182.53,8888,http,,,CN,Shanghai,http://180.156.182.53:8888,China Telecom Group
180.156.182.53:8888,180.156.182.53,8888,http,,,CN,Shanghai,http://180.156.182.53:8888,China Telecom Group
180.158.200.165:8686,180.158.200.165,8686,http,,,CN,Shanghai,http://180.158.200.165:8686,China Telecom Group
180.158.200.165:8686,180.158.200.165,8686,http,,,CN,Shanghai,http://180.158.200.165:8686,China Telecom Group
222.64.60.242:5555,222.64.60.242,5555,http,,,CN,Shanghai,http://222.64.60.242:5555,China Telecom Group
222.64.60.242:5555,222.64.60.242,5555,http,,,CN,Shanghai,http://222.64.60.242:5555,China Telecom Group
116.231.230.15:4022,116.231.230.15,4022,http,,,CN,Shanghai,http://116.231.230.15:4022,China Telecom Group
116.231.230.15:4022,116.231.230.15,4022,http,,,CN,Shanghai,http://116.231.230.15:4022,China Telecom Group
58.38.48.42:9200,58.38.48.42,9200,http,,,CN,Shanghai,http://58.38.48.42:9200,China Telecom Group
180.165.15.85:8686,180.165.15.85,8686,http,,,CN,Shanghai,http://180.165.15.85:8686,China Telecom Group
180.165.15.85:8686,180.165.15.85,8686,http,,,CN,Shanghai,http://180.165.15.85:8686,China Telecom Group
222.70.245.178:19999,222.70.245.178,19999,http,,,CN,Shanghai,http://222.70.245.178:19999,China Telecom Group
222.70.245.178:19999,222.70.245.178,19999,http,,,CN,Shanghai,http://222.70.245.178:19999,China Telecom Group
116.237.125.143:8881,116.237.125.143,8881,http,,,CN,Shanghai,http://116.237.125.143:8881,China Telecom Group
58.41.15.143:4022,58.41.15.143,4022,http,,,CN,Shanghai,http://58.41.15.143:4022,China Telecom Group
58.41.15.143:4022,58.41.15.143,4022,http,,,CN,Shanghai,http://58.41.15.143:4022,China Telecom Group
180.159.24.148:4022,180.159.24.148,4022,http,,,CN,Shanghai,http://180.159.24.148:4022,China Telecom Group
180.159.24.148:4022,180.159.24.148,4022,http,,,CN,Shanghai,http://180.159.24.148:4022,China Telecom Group
222.65.234.44:4022,222.65.234.44,4022,http,,,CN,Shanghai,http://222.65.234.44:4022,China Telecom Group
222.65.234.44:4022,222.65.234.44,4022,http,,,CN,Shanghai,http://222.65.234.44:4022,China Telecom Group
180.175.65.241:5000,180.175.65.241,5000,http,,,CN,Shanghai,http://180.175.65.241:5000,China Telecom Group
180.175.65.241:5000,180.175.65.241,5000,http,,,CN,Shanghai,http://180.175.65.241:5000,China Telecom Group
222.70.220.168:9999,222.70.220.168,9999,http,,,CN,Shanghai,http://222.70.220.168:9999,China Telecom Group
222.70.220.168:9999,222.70.220.168,9999,http,,,CN,Shanghai,http://222.70.220.168:9999,China Telecom Group
116.231.246.219:4022,116.231.246.219,4022,http,,,CN,Shanghai,http://116.231.246.219:4022,China Telecom Group
116.231.246.219:4022,116.231.246.219,4022,http,,,CN,Shanghai,http://116.231.246.219:4022,China Telecom Group
116.227.39.93:20000,116.227.39.93,20000,http,,,CN,Shanghai,http://116.227.39.93:20000,China Telecom Group
222.67.182.64:34567,222.67.182.64,34567,http,,,CN,Shanghai,http://222.67.182.64:34567,China Telecom Group
222.67.182.64:34567,222.67.182.64,34567,http,,,CN,Shanghai,http://222.67.182.64:34567,China Telecom Group
58.32.35.201:85,58.32.35.201,85,http,,,CN,Shanghai,http://58.32.35.201:85,China Telecom Group
180.165.22.198:4022,180.165.22.198,4022,http,,,CN,Shanghai,http://180.165.22.198:4022,China Telecom Group
180.165.22.198:4022,180.165.22.198,4022,http,,,CN,Shanghai,http://180.165.22.198:4022,China Telecom Group
58.38.48.108:9200,58.38.48.108,9200,http,,,CN,Shanghai,http://58.38.48.108:9200,China Telecom Group
180.165.18.217:9999,180.165.18.217,9999,http,,,CN,Shanghai,http://180.165.18.217:9999,China Telecom Group
222.70.145.55:10010,222.70.145.55,10010,http,,,CN,Shanghai,http://222.70.145.55:10010,China Telecom Group
222.70.145.55:10010,222.70.145.55,10010,http,,,CN,Shanghai,http://222.70.145.55:10010,China Telecom Group
112.65.87.40:10010,112.65.87.40,10010,http,,,CN,Shanghai,http://112.65.87.40:10010,China Unicom Shanghai network
112.65.87.40:10010,112.65.87.40,10010,http,,,CN,Shanghai,http://112.65.87.40:10010,China Unicom Shanghai network
222.64.202.89:4022,222.64.202.89,4022,http,,,CN,Shanghai,http://222.64.202.89:4022,China Telecom Group
222.64.202.89:4022,222.64.202.89,4022,http,,,CN,Shanghai,http://222.64.202.89:4022,China Telecom Group
101.229.255.197:6066,101.229.255.197,6066,http,,,CN,Shanghai,http://101.229.255.197:6066,China Telecom Group
180.158.97.71:9998,180.158.97.71,9998,http,,,CN,Shanghai,http://180.158.97.71:9998,China Telecom Group
180.158.97.71:9998,180.158.97.71,9998,http,,,CN,Shanghai,http://180.158.97.71:9998,China Telecom Group
116.226.27.104:4022,116.226.27.104,4022,http,,,CN,Shanghai,http://116.226.27.104:4022,China Telecom Group
116.226.27.104:4022,116.226.27.104,4022,http,,,CN,Shanghai,http://116.226.27.104:4022,China Telecom Group
58.41.155.10:8888,58.41.155.10,8888,http,,,CN,Shanghai,http://58.41.155.10:8888,China Telecom Group
58.41.155.10:8888,58.41.155.10,8888,http,,,CN,Shanghai,http://58.41.155.10:8888,China Telecom Group
58.41.13.4:4022,58.41.13.4,4022,http,,,CN,Shanghai,http://58.41.13.4:4022,China Telecom Group
58.32.43.241:8880,58.32.43.241,8880,http,,,CN,Shanghai,http://58.32.43.241:8880,China Telecom Group
58.32.43.241:8880,58.32.43.241,8880,http,,,CN,Shanghai,http://58.32.43.241:8880,China Telecom Group
116.237.54.44:8888,116.237.54.44,8888,http,,,CN,Shanghai,http://116.237.54.44:8888,China Telecom Group
222.64.216.109:8888,222.64.216.109,8888,http,,,CN,Shanghai,http://222.64.216.109:8888,China Telecom Group
222.64.216.109:8888,222.64.216.109,8888,http,,,CN,Shanghai,http://222.64.216.109:8888,China Telecom Group
61.172.6.29:8888,61.172.6.29,8888,http,,,CN,Shanghai,http://61.172.6.29:8888,China Telecom Group
116.232.137.122:9988,116.232.137.122,9988,http,,,CN,Shanghai,http://116.232.137.122:9988,China Telecom Group
116.232.137.122:9988,116.232.137.122,9988,http,,,CN,Shanghai,http://116.232.137.122:9988,China Telecom Group
222.68.57.146:9988,222.68.57.146,9988,http,,,CN,Shanghai,http://222.68.57.146:9988,China Telecom Group
222.68.57.146:9988,222.68.57.146,9988,http,,,CN,Shanghai,http://222.68.57.146:9988,China Telecom Group
114.85.57.59:8889,114.85.57.59,8889,http,,,CN,Shanghai,http://114.85.57.59:8889,China Telecom Group
114.85.57.59:8889,114.85.57.59,8889,http,,,CN,Shanghai,http://114.85.57.59:8889,China Telecom Group
222.70.220.168:8888,222.70.220.168,8888,http,,,CN,Shanghai,http://222.70.220.168:8888,China Telecom Group
222.70.220.168:8888,222.70.220.168,8888,http,,,CN,Shanghai,http://222.70.220.168:8888,China Telecom Group
218.80.120.111:8880,218.80.120.111,8880,http,,,CN,Shanghai,http://218.80.120.111:8880,China Telecom Group
116.231.104.177:4022,116.231.104.177,4022,http,,,CN,Shanghai,http://116.231.104.177:4022,China Telecom Group
116.231.104.177:4022,116.231.104.177,4022,http,,,CN,Shanghai,http://116.231.104.177:4022,China Telecom Group
218.80.120.111:8880,218.80.120.111,8880,http,,,CN,Shanghai,http://218.80.120.111:8880,China Telecom Group
116.226.103.106:4022,116.226.103.106,4022,http,,,CN,Shanghai,http://116.226.103.106:4022,China Telecom Group
116.226.103.106:4022,116.226.103.106,4022,http,,,CN,Shanghai,http://116.226.103.106:4022,China Telecom Group
180.165.2.144:9898,180.165.2.144,9898,http,,,CN,Shanghai,http://180.165.2.144:9898,China Telecom Group
222.67.29.26:1688,222.67.29.26,1688,http,,,CN,Shanghai,http://222.67.29.26:1688,China Telecom Group
222.70.190.37:9898,222.70.190.37,9898,http,,,CN,Shanghai,http://222.70.190.37:9898,China Telecom Group
222.70.190.37:9898,222.70.190.37,9898,http,,,CN,Shanghai,http://222.70.190.37:9898,China Telecom Group
180.165.2.144:9898,180.165.2.144,9898,http,,,CN,Shanghai,http://180.165.2.144:9898,China Telecom Group
222.71.202.30:4000,222.71.202.30,4000,http,,,CN,Shanghai,http://222.71.202.30:4000,China Telecom Group
139.226.191.140:4000,139.226.191.140,4000,http,,,CN,Shanghai,http://139.226.191.140:4000,China Unicom Shanghai network
139.226.191.140:4000,139.226.191.140,4000,http,,,CN,Shanghai,http://139.226.191.140:4000,China Unicom Shanghai network
218.1.171.71:4022,218.1.171.71,4022,http,,,CN,Shanghai,http://218.1.171.71:4022,China Telecom Group
58.32.35.201:85,58.32.35.201,85,http,,,CN,Shanghai,http://58.32.35.201:85,China Telecom Group
180.165.18.217:9999,180.165.18.217,9999,http,,,CN,Shanghai,http://180.165.18.217:9999,China Telecom Group
116.227.39.93:20000,116.227.39.93,20000,http,,,CN,Shanghai,http://116.227.39.93:20000,China Telecom Group
222.70.218.148:9999,222.70.218.148,9999,http,,,CN,Shanghai,http://222.70.218.148:9999,China Telecom Group
222.70.218.148:8888,222.70.218.148,8888,http,,,CN,Shanghai,http://222.70.218.148:8888,China Telecom Group
58.32.18.13:34567,58.32.18.13,34567,http,,,CN,Shanghai,http://58.32.18.13:34567,China Telecom Group
58.32.18.13:34567,58.32.18.13,34567,http,,,CN,Shanghai,http://58.32.18.13:34567,China Telecom Group
61.172.6.29:8888,61.172.6.29,8888,http,,,CN,Shanghai,http://61.172.6.29:8888,China Telecom Group
222.67.92.225:4022,222.67.92.225,4022,http,,,CN,Shanghai,http://222.67.92.225:4022,China Telecom Group
222.67.92.225:4022,222.67.92.225,4022,http,,,CN,Shanghai,http://222.67.92.225:4022,China Telecom Group
116.227.41.184:8888,116.227.41.184,8888,http,,,CN,Shanghai,http://116.227.41.184:8888,China Telecom Group
139.227.17.97:4022,139.227.17.97,4022,http,,,CN,Shanghai,http://139.227.17.97:4022,China Unicom Shanghai network
139.227.17.97:4022,139.227.17.97,4022,http,,,CN,Shanghai,http://139.227.17.97:4022,China Unicom Shanghai network
222.70.218.148:9999,222.70.218.148,9999,http,,,CN,Shanghai,http://222.70.218.148:9999,China Telecom Group
116.227.41.184:8888,116.227.41.184,8888,http,,,CN,Shanghai,http://116.227.41.184:8888,China Telecom Group
116.237.81.116:8888,116.237.81.116,8888,http,,,CN,Shanghai,http://116.237.81.116:8888,China Telecom Group
101.229.187.18:4022,101.229.187.18,4022,http,,,CN,Shanghai,http://101.229.187.18:4022,China Telecom Group
101.229.187.18:4022,101.229.187.18,4022,http,,,CN,Shanghai,http://101.229.187.18:4022,China Telecom Group
https://nas.caacly.cc:5008,218.78.181.83,5008,https,flare 网站,caacly.cc,CN,Shanghai,https://nas.caacly.cc:5008,China Telecom Group
222.68.112.182:8686,222.68.112.182,8686,http,,,CN,Shanghai,http://222.68.112.182:8686,China Telecom Group
1v5q209608.iok.la:8686,222.68.112.182,8686,http,,iok.la,CN,Shanghai,http://1v5q209608.iok.la:8686,China Telecom Group
222.70.218.148:8888,222.70.218.148,8888,http,,,CN,Shanghai,http://222.70.218.148:8888,China Telecom Group
114.95.209.187:3333,114.95.209.187,3333,http,,,CN,Shanghai,http://114.95.209.187:3333,China Telecom Group
222.64.72.151:8899,222.64.72.151,8899,http,,,CN,Shanghai,http://222.64.72.151:8899,China Telecom Group
58.41.153.246:8888,58.41.153.246,8888,http,,,CN,Shanghai,http://58.41.153.246:8888,China Telecom Group
114.95.209.187:3333,114.95.209.187,3333,http,,,CN,Shanghai,http://114.95.209.187:3333,China Telecom Group
139.227.17.92:4022,139.227.17.92,4022,http,,,CN,Shanghai,http://139.227.17.92:4022,China Unicom Shanghai network
139.227.17.92:4022,139.227.17.92,4022,http,,,CN,Shanghai,http://139.227.17.92:4022,China Unicom Shanghai network
222.64.217.127:8888,222.64.217.127,8888,http,,,CN,Shanghai,http://222.64.217.127:8888,China Telecom Group
101.229.228.104:4022,101.229.228.104,4022,http,,,CN,Shanghai,http://101.229.228.104:4022,China Telecom Group
222.70.40.11:34567,222.70.40.11,34567,http,,,CN,Shanghai,http://222.70.40.11:34567,China Telecom Group
222.70.40.11:34567,222.70.40.11,34567,http,,,CN,Shanghai,http://222.70.40.11:34567,China Telecom Group
58.38.48.108:9200,58.38.48.108,9200,http,,,CN,Shanghai,http://58.38.48.108:9200,China Telecom Group
218.80.79.165:8880,218.80.79.165,8880,http,,,CN,Shanghai,http://218.80.79.165:8880,China Telecom Group
222.70.80.152:4022,222.70.80.152,4022,http,,,CN,Shanghai,http://222.70.80.152:4022,China Telecom Group
222.70.80.152:4022,222.70.80.152,4022,http,,,CN,Shanghai,http://222.70.80.152:4022,China Telecom Group
58.41.153.246:8888,58.41.153.246,8888,http,,,CN,Shanghai,http://58.41.153.246:8888,China Telecom Group
180.158.77.74:4022,180.158.77.74,4022,http,,,CN,Shanghai,http://180.158.77.74:4022,China Telecom Group
180.158.77.74:4022,180.158.77.74,4022,http,,,CN,Shanghai,http://180.158.77.74:4022,China Telecom Group
222.67.97.141:4022,222.67.97.141,4022,http,,,CN,Shanghai,http://222.67.97.141:4022,China Telecom Group
222.67.97.141:4022,222.67.97.141,4022,http,,,CN,Shanghai,http://222.67.97.141:4022,China Telecom Group
222.64.217.127:8888,222.64.217.127,8888,http,,,CN,Shanghai,http://222.64.217.127:8888,China Telecom Group
116.226.12.34:4022,116.226.12.34,4022,http,,,CN,Shanghai,http://116.226.12.34:4022,China Telecom Group
116.226.12.34:4022,116.226.12.34,4022,http,,,CN,Shanghai,http://116.226.12.34:4022,China Telecom Group
222.64.72.151:8899,222.64.72.151,8899,http,,,CN,Shanghai,http://222.64.72.151:8899,China Telecom Group
180.158.195.25:3001,180.158.195.25,3001,http,,,CN,Shanghai,http://180.158.195.25:3001,China Telecom Group
180.158.195.25:3001,180.158.195.25,3001,http,,,CN,Shanghai,http://180.158.195.25:3001,China Telecom Group
58.38.18.167:9200,58.38.18.167,9200,http,,,CN,Shanghai,http://58.38.18.167:9200,China Telecom Group
58.32.26.197:85,58.32.26.197,85,http,,,CN,Shanghai,http://58.32.26.197:85,China Telecom Group
180.158.106.28:4022,180.158.106.28,4022,http,,,CN,Shanghai,http://180.158.106.28:4022,China Telecom Group
180.165.16.234:9999,180.165.16.234,9999,http,,,CN,Shanghai,http://180.165.16.234:9999,China Telecom Group
